SUBJECT;LABEL;HDRFDST
117122;Amygdala;16.401219466856727
117122;GreyMatter;1.7320508075688772
117122;Hippocampus;13.92838827718412
117122;Thalamus;9.0
117122;WhiteMatter;3.1622776601683795
117122-PP;Amygdala;16.401219466856727
117122-PP;GreyMatter;1.7320508075688772
117122-PP;Hippocampus;13.92838827718412
117122-PP;Thalamus;9.0
117122-PP;WhiteMatter;3.1622776601683795
118528;Amygdala;14.798648586948742
118528;GreyMatter;2.449489742783178
118528;Hippocampus;13.601470508735444
118528;Thalamus;12.083045973594572
118528;WhiteMatter;4.123105625617661
118528-PP;Amygdala;14.798648586948742
118528-PP;GreyMatter;2.449489742783178
118528-PP;Hippocampus;13.601470508735444
118528-PP;Thalamus;12.083045973594572
118528-PP;WhiteMatter;4.123105625617661
118730;Amygdala;12.083045973594572
118730;GreyMatter;2.449489742783178
118730;Hippocampus;12.041594578792296
118730;Thalamus;7.483314773547883
118730;WhiteMatter;4.0
118730-PP;Amygdala;12.083045973594572
118730-PP;GreyMatter;2.449489742783178
118730-PP;Hippocampus;12.041594578792296
118730-PP;Thalamus;7.483314773547883
118730-PP;WhiteMatter;4.0
118932;Amygdala;14.142135623730951
118932;GreyMatter;2.23606797749979
118932;Hippocampus;12.884098726725126
118932;Thalamus;8.06225774829855
118932;WhiteMatter;4.0
118932-PP;Amygdala;14.142135623730951
118932-PP;GreyMatter;2.23606797749979
118932-PP;Hippocampus;12.884098726725126
118932-PP;Thalamus;8.06225774829855
118932-PP;WhiteMatter;4.0
120111;Amygdala;13.45362404707371
120111;GreyMatter;2.23606797749979
120111;Hippocampus;13.152946437965905
120111;Thalamus;7.0710678118654755
120111;WhiteMatter;3.1622776601683795
120111-PP;Amygdala;13.45362404707371
120111-PP;GreyMatter;2.23606797749979
120111-PP;Hippocampus;13.152946437965905
120111-PP;Thalamus;7.0710678118654755
120111-PP;WhiteMatter;3.1622776601683795
122317;Amygdala;15.620499351813308
122317;GreyMatter;2.0
122317;Hippocampus;14.177446878757825
122317;Thalamus;9.899494936611665
122317;WhiteMatter;4.242640687119285
122317-PP;Amygdala;15.620499351813308
122317-PP;GreyMatter;2.0
122317-PP;Hippocampus;14.177446878757825
122317-PP;Thalamus;9.899494936611665
122317-PP;WhiteMatter;4.242640687119285
122620;Amygdala;12.884098726725126
122620;GreyMatter;3.1622776601683795
122620;Hippocampus;12.84523257866513
122620;Thalamus;8.660254037844387
122620;WhiteMatter;4.0
122620-PP;Amygdala;12.884098726725126
122620-PP;GreyMatter;3.1622776601683795
122620-PP;Hippocampus;12.84523257866513
122620-PP;Thalamus;8.660254037844387
122620-PP;WhiteMatter;4.0
123117;Amygdala;12.529964086141668
123117;GreyMatter;3.0
123117;Hippocampus;19.209372712298546
123117;Thalamus;17.26267650163207
123117;WhiteMatter;3.7416573867739413
123117-PP;Amygdala;12.529964086141668
123117-PP;GreyMatter;3.0
123117-PP;Hippocampus;19.209372712298546
123117-PP;Thalamus;17.26267650163207
123117-PP;WhiteMatter;3.7416573867739413
123925;Amygdala;14.45683229480096
123925;GreyMatter;2.449489742783178
123925;Hippocampus;13.19090595827292
123925;Thalamus;10.392304845413264
123925;WhiteMatter;3.605551275463989
123925-PP;Amygdala;14.45683229480096
123925-PP;GreyMatter;2.449489742783178
123925-PP;Hippocampus;13.19090595827292
123925-PP;Thalamus;10.392304845413264
123925-PP;WhiteMatter;3.605551275463989
124422;Amygdala;13.638181696985855
124422;GreyMatter;2.0
124422;Hippocampus;13.152946437965905
124422;Thalamus;9.273618495495704
124422;WhiteMatter;3.1622776601683795
124422-PP;Amygdala;13.638181696985855
124422-PP;GreyMatter;2.0
124422-PP;Hippocampus;13.152946437965905
124422-PP;Thalamus;9.273618495495704
124422-PP;WhiteMatter;3.1622776601683795
