SUBJECT;LABEL;HDRFDST
117122;Amygdala;16.0
117122;GreyMatter;3.1622776601683795
117122;Hippocampus;15.652475842498529
117122;Thalamus;8.602325267042627
117122;WhiteMatter;4.123105625617661
117122-PP;Amygdala;16.0
117122-PP;GreyMatter;3.1622776601683795
117122-PP;Hippocampus;15.652475842498529
117122-PP;Thalamus;8.602325267042627
117122-PP;WhiteMatter;4.123105625617661
118528;Amygdala;13.416407864998739
118528;GreyMatter;3.0
118528;Hippocampus;14.177446878757825
118528;Thalamus;8.602325267042627
118528;WhiteMatter;4.47213595499958
118528-PP;Amygdala;13.416407864998739
118528-PP;GreyMatter;3.0
118528-PP;Hippocampus;14.177446878757825
118528-PP;Thalamus;8.602325267042627
118528-PP;WhiteMatter;4.47213595499958
118730;Amygdala;11.224972160321824
118730;GreyMatter;3.0
118730;Hippocampus;13.784048752090222
118730;Thalamus;6.928203230275509
118730;WhiteMatter;4.242640687119285
118730-PP;Amygdala;11.224972160321824
118730-PP;GreyMatter;3.0
118730-PP;Hippocampus;13.784048752090222
118730-PP;Thalamus;6.928203230275509
118730-PP;WhiteMatter;4.242640687119285
118932;Amygdala;12.409673645990857
118932;GreyMatter;3.7416573867739413
118932;Hippocampus;14.247806848775006
118932;Thalamus;6.4031242374328485
118932;WhiteMatter;4.358898943540674
118932-PP;Amygdala;12.409673645990857
118932-PP;GreyMatter;3.7416573867739413
118932-PP;Hippocampus;14.247806848775006
118932-PP;Thalamus;6.4031242374328485
118932-PP;WhiteMatter;4.358898943540674
120111;Amygdala;12.806248474865697
120111;GreyMatter;3.0
120111;Hippocampus;13.601470508735444
120111;Thalamus;6.324555320336759
120111;WhiteMatter;4.123105625617661
120111-PP;Amygdala;12.806248474865697
120111-PP;GreyMatter;3.0
120111-PP;Hippocampus;13.601470508735444
120111-PP;Thalamus;6.324555320336759
120111-PP;WhiteMatter;4.123105625617661
122317;Amygdala;15.132745950421556
122317;GreyMatter;3.4641016151377544
122317;Hippocampus;14.52583904633395
122317;Thalamus;11.224972160321824
122317;WhiteMatter;5.0
122317-PP;Amygdala;15.132745950421556
122317-PP;GreyMatter;3.4641016151377544
122317-PP;Hippocampus;14.52583904633395
122317-PP;Thalamus;11.224972160321824
122317-PP;WhiteMatter;5.0
122620;Amygdala;11.0
122620;GreyMatter;3.1622776601683795
122620;Hippocampus;14.594519519326424
122620;Thalamus;7.810249675906654
122620;WhiteMatter;5.0990195135927845
122620-PP;Amygdala;11.0
122620-PP;GreyMatter;3.1622776601683795
122620-PP;Hippocampus;14.594519519326424
122620-PP;Thalamus;7.810249675906654
122620-PP;WhiteMatter;5.0990195135927845
123117;Amygdala;14.45683229480096
123117;GreyMatter;6.928203230275509
123117;Hippocampus;21.0
123117;Thalamus;15.297058540778355
123117;WhiteMatter;5.385164807134504
123117-PP;Amygdala;14.45683229480096
123117-PP;GreyMatter;6.928203230275509
123117-PP;Hippocampus;21.0
123117-PP;Thalamus;15.297058540778355
123117-PP;WhiteMatter;5.385164807134504
123925;Amygdala;12.727922061357855
123925;GreyMatter;2.8284271247461903
123925;Hippocampus;13.601470508735444
123925;Thalamus;9.38083151964686
123925;WhiteMatter;4.0
123925-PP;Amygdala;12.727922061357855
123925-PP;GreyMatter;2.8284271247461903
123925-PP;Hippocampus;13.601470508735444
123925-PP;Thalamus;9.38083151964686
123925-PP;WhiteMatter;4.0
124422;Amygdala;13.601470508735444
124422;GreyMatter;2.8284271247461903
124422;Hippocampus;14.035668847618199
124422;Thalamus;7.615773105863909
124422;WhiteMatter;4.123105625617661
124422-PP;Amygdala;13.601470508735444
124422-PP;GreyMatter;2.8284271247461903
124422-PP;Hippocampus;14.035668847618199
124422-PP;Thalamus;7.615773105863909
124422-PP;WhiteMatter;4.123105625617661
